,Country,Date,Hemisphere,MonthOrder
0,USA,Sep,North,9.0
1,USA,Sep,North,9.0
2,USA,Sep,North,9.0
3,AUSTRALIA,Sep,South,9.0
4,AUSTRALIA,Sep,South,9.0
5,AUSTRALIA,Sep,South,9.0
6,USA,Sep,North,9.0
7,USA,Sep,North,9.0
8,NEW CALEDONIA,Sep,South,9.0
9,USA,Sep,North,9.0
10,AUSTRALIA,Sep,South,9.0
11,USA,Sep,North,9.0
12,USA,Sep,North,9.0
13,USA,Aug,North,8.0
14,USA,Aug,North,8.0
15,REUNION,Aug,South,8.0
16,USA,Aug,North,8.0
17,BAHAMAS,Aug,North,8.0
18,USA,Aug,North,8.0
19,USA,Aug,North,8.0
20,SPAIN,Jul,North,7.0
21,CHINA,Jul,North,7.0
22,AUSTRALIA,Jul,South,7.0
23,USA,Jul,North,7.0
24,AUSTRALIA,Jul,South,7.0
25,JAPAN,Jul,North,7.0
26,AUSTRALIA,Jul,South,7.0
27,BAHAMAS,Jul,North,7.0
28,AUSTRALIA,Jul,South,7.0
29,USA,Jul,North,7.0
30,USA,Jul,North,7.0
31,USA,Jul,North,7.0
32,USA,Jul,North,7.0
33,BAHAMAS,Jul,North,7.0
34,SPAIN,Jul,North,7.0
35,USA,Jul,North,7.0
36,USA,Jul,North,7.0
37,USA,Jul,North,7.0
38,USA,Jul,North,7.0
39,AUSTRALIA,Jul,South,7.0
40,USA,Jun,North,6.0
41,USA,Jun,North,6.0
42,COLUMBIA,Jun,North,6.0
43,SOUTH AFRICA,Jun,South,6.0
44,USA,Jun,North,6.0
45,USA,Jun,North,6.0
46,USA,Jun,North,6.0
47,AUSTRALIA,Jun,South,6.0
48,USA,Jun,North,6.0
49,USA,Jun,North,6.0
50,USA,Jun,North,6.0
51,USA,Jun,North,6.0
52,AUSTRALIA,Jun,South,6.0
53,EGYPT,Jun,North,6.0
54,AUSTRALIA,Jun,South,6.0
55,NEW CALEDONIA,Jun,South,6.0
